City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,1.4,81,93,3.53,CL,1698542829
1,albany,42.6001,-73.9662,12.42,66,100,3.8,US,1698542896
2,port-aux-francais,-49.35,70.2167,4.44,97,100,12.36,TF,1698542921
3,kone,-21.0595,164.8658,24.21,55,70,4.99,NC,1698542921
4,onega,63.9061,38.1404,-3.67,93,100,1.78,RU,1698543334
5,grytviken,-54.2811,-36.5092,2.74,90,36,7.25,GS,1698542922
6,iqaluit,63.7506,-68.5145,-15.15,77,0,5.14,CA,1698542922
7,chui,-33.6971,-53.4616,16.98,96,7,2.01,UY,1698542922
8,badger,64.8,-147.5333,-5.36,88,0,0.0,US,1698543335
9,waitangi,-43.9535,-176.5597,12.68,77,18,4.02,NZ,1698542923
10,nova sintra,14.8667,-24.7167,23.44,76,13,7.42,CV,1698542923
11,happy valley-goose bay,53.3168,-60.3315,5.17,81,75,9.77,CA,1698542900
12,ribeira grande,38.5167,-28.7,17.1,67,100,2.68,PT,1698542923
13,isangel,-19.55,169.2667,27.06,78,40,1.54,VU,1698542924
14,kingston,17.997,-76.7936,28.53,80,20,4.12,JM,1698542834
15,wenling,28.3669,121.36,19.68,69,27,2.66,CN,1698542924
16,port moresby,-9.4431,147.1797,28.68,79,75,2.57,PG,1698542924
17,usogorsk,63.4106,48.6872,-3.52,83,100,4.09,RU,1698542925
18,tura,25.5198,90.2201,20.01,84,4,1.36,IN,1698542925
19,adamstown,-25.066,-130.1015,23.05,81,98,5.86,PN,1698542925
20,saint-pierre,-21.3393,55.4781,22.82,68,1,3.6,RE,1698542925
21,namibe,-15.1961,12.1522,22.14,76,31,3.05,AO,1698542925
22,anadyr,64.75,177.4833,2.28,100,100,5.0,RU,1698542926
23,la rioja,42.25,-2.5,11.88,70,100,5.34,ES,1698542926
24,selfoss,63.9331,-20.9971,-1.64,73,72,2.82,IS,1698542926
25,wailua homesteads,22.0669,-159.378,28.24,72,0,6.69,US,1698542926
26,ushuaia,-54.8,-68.3,4.81,65,100,6.69,AR,1698542927
27,chinsali,-10.5414,32.0816,19.81,55,17,0.71,ZM,1698542927
28,geraldton,-28.7667,114.6,20.23,52,0,8.23,AU,1698542927
29,san patricio,28.017,-97.5169,27.97,75,0,6.24,US,1698542928
30,isafjordur,66.0755,-23.124,2.07,84,87,2.19,IS,1698542928
31,port elizabeth,-33.918,25.5701,11.16,71,0,4.12,ZA,1698542928
32,el tocuyo,9.7873,-69.7937,21.96,95,95,0.82,VE,1698542928
33,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,0,2.0,RU,1698542929
34,tyumentsevo,53.3224,81.498,-2.22,60,100,4.04,RU,1698542929
35,puranpur,28.5167,80.15,17.57,63,1,1.34,IN,1698542929
36,kudahuvadhoo,2.6708,72.8944,27.99,78,100,6.86,MV,1698542929
37,mawlamyinegyunn,16.3833,95.2667,25.57,88,78,1.25,MM,1698542929
38,arauco,-37.2463,-73.3175,8.18,86,80,2.91,CL,1698542824
39,tazovsky,67.4667,78.7,-14.63,91,22,3.76,RU,1698542930
40,basco,20.4487,121.9702,26.08,79,10,6.06,PH,1698542930
41,georgetown,5.4112,100.3354,27.96,86,20,2.57,MY,1698542846
42,kerikeri,-35.2268,173.9474,13.28,92,100,4.02,NZ,1698542930
43,port lincoln,-34.7333,135.8667,16.15,49,99,4.82,AU,1698542931
44,el granada,37.5027,-122.4694,18.57,51,0,8.23,US,1698542931
45,invercargill,-46.4,168.35,13.34,71,56,3.58,NZ,1698542931
46,tazacorte,28.629,-17.9293,21.54,97,100,1.54,ES,1698542931
47,porto novo,6.4965,2.6036,25.9,88,2,1.38,BJ,1698542932
48,marat,25.0701,45.4615,20.97,35,100,3.21,SA,1698542932
49,as safirah,36.077,37.3725,21.82,40,0,1.52,SY,1698542932
50,caraubas,-5.7925,-37.5567,26.86,52,6,7.22,BR,1698542932
51,katsuren-haebaru,26.3369,127.8719,27.43,50,0,6.69,JP,1698542933
52,keflavik,64.0049,-22.5624,2.24,75,0,3.6,IS,1698542933
53,ar rahad,12.7167,30.65,25.46,66,100,3.05,SD,1698542933
54,tiksi,71.6872,128.8694,-10.3,88,100,2.38,RU,1698542933
55,hamilton,39.1834,-84.5333,12.77,94,100,4.12,US,1698542934
56,luanda,-8.8368,13.2343,26.0,78,100,2.57,AO,1698542900
57,yaren,-0.5472,166.916,28.46,70,99,2.87,NR,1698542934
58,aasiaat,68.7098,-52.8699,-10.65,92,97,3.66,GL,1698542934
59,puerto ayora,-0.7393,-90.3518,23.64,92,17,2.24,EC,1698542935
